Region;Alder;Tid;value
0217;F0-19;2013;6984
0217;F0-19;2014;7025
0217;F0-19;2015;7064
0217;F20-64;2013;14807
0217;F20-64;2014;14916
0217;F20-64;2015;15078
0217;F65+;2013;4172
0217;F65+;2014;4314
0217;F65+;2015;4438
0219;F0-19;2013;31647
0219;F0-19;2014;31938
0219;F0-19;2015;32240
0219;F20-64;2013;66949
0219;F20-64;2014;68199
0219;F20-64;2015;69582
0219;F65+;2013;18081
0219;F65+;2014;18451
0219;F65+;2015;18863
0220;F0-19;2013;16000
0220;F0-19;2014;16119
0220;F0-19;2015;16327
0220;F20-64;2013;32971
0220;F20-64;2014;33484
0220;F20-64;2015;34230
0220;F65+;2013;8447
0220;F65+;2014;8735
0220;F65+;2015;9014
0221;F0-19;2013;3682
0221;F0-19;2014;3758
0221;F0-19;2015;3746
0221;F20-64;2013;8910
0221;F20-64;2014;8995
0221;F20-64;2015;9163
0221;F65+;2013;2668
0221;F65+;2014;2747
0221;F65+;2015;2817
0226;F0-19;2013;4550
0226;F0-19;2014;4686
0226;F0-19;2015;4736
0226;F20-64;2013;9739
0226;F20-64;2014;10071
0226;F20-64;2015;10124
0226;F65+;2013;2074
0226;F65+;2014;2161
0226;F65+;2015;2229
0227;F0-19;2013;2801
0227;F0-19;2014;2827
0227;F0-19;2015;2886
0227;F20-64;2013;6431
0227;F20-64;2014;6603
0227;F20-64;2015;6637
0227;F65+;2013;1578
0227;F65+;2014;1618
0227;F65+;2015;1676
0228;F0-19;2013;4212
0228;F0-19;2014;4362
0228;F0-19;2015;4455
0228;F20-64;2013;10067
0228;F20-64;2014;10243
0228;F20-64;2015;10465
0228;F65+;2013;2141
0228;F65+;2014;2201
0228;F65+;2015;2265
0229;F0-19;2013;2947
0229;F0-19;2014;2940
0229;F0-19;2015;2947
0229;F20-64;2013;6320
0229;F20-64;2014;6306
0229;F20-64;2015;6368
0229;F65+;2013;1293
0229;F65+;2014;1380
0229;F65+;2015;1445
0230;F0-19;2013;8943
0230;F0-19;2014;8947
0230;F0-19;2015;8957
0230;F20-64;2013;20528
0230;F20-64;2014;20665
0230;F20-64;2015;20833
0230;F65+;2013;4849
0230;F65+;2014;5085
0230;F65+;2015;5349
0231;F0-19;2013;12947
0231;F0-19;2014;12972
0231;F0-19;2015;13064
0231;F20-64;2013;30200
0231;F20-64;2014;30605
0231;F20-64;2015;30856
0231;F65+;2013;7385
0231;F65+;2014;7611
0231;F65+;2015;7805
0233;F0-19;2013;6189
0233;F0-19;2014;6286
0233;F0-19;2015;6302
0233;F20-64;2013;12903
0233;F20-64;2014;13100
0233;F20-64;2015;13288
0233;F65+;2013;2879
0233;F65+;2014;2999
0233;F65+;2015;3116
0234;F0-19;2013;1776
0234;F0-19;2014;1741
0234;F0-19;2015;1729
0234;F20-64;2013;3674
0234;F20-64;2014;3702
0234;F20-64;2015;3712
0234;F65+;2013;814
0234;F65+;2014;849
0234;F65+;2015;885
0235;F0-19;2013;8795
0235;F0-19;2014;8925
0235;F0-19;2015;9037
0235;F20-64;2013;19008
0235;F20-64;2014;19345
0235;F20-64;2015;19891
0235;F65+;2013;3940
0235;F65+;2014;4168
0235;F65+;2015;4382
0236;F0-19;2013;4961
0236;F0-19;2014;4961
0236;F0-19;2015;4972
0236;F20-64;2013;11910
0236;F20-64;2014;12120
0236;F20-64;2015;12287
0236;F65+;2013;2948
0236;F65+;2014;3083
0236;F65+;2015;3151
0237;F0-19;2013;5595
0237;F0-19;2014;5786
0237;F0-19;2015;5875
0237;F20-64;2013;13309
0237;F20-64;2014;13539
0237;F20-64;2015;13821
0237;F65+;2013;3238
0237;F65+;2014;3364
0237;F65+;2015;3542
0238;F0-19;2013;3127
0238;F0-19;2014;3127
0238;F0-19;2015;3127
0238;F20-64;2013;6858
0238;F20-64;2014;7016
0238;F20-64;2015;7158
0238;F65+;2013;1520
0238;F65+;2014;1564
0238;F65+;2015;1597
0239;F0-19;2013;642
0239;F0-19;2014;631
0239;F0-19;2015;639
0239;F20-64;2013;1524
0239;F20-64;2014;1534
0239;F20-64;2015;1560
0239;F65+;2013;519
0239;F65+;2014;530
0239;F65+;2015;553
0301;F0-19;2013;135991
0301;F0-19;2014;137597
0301;F0-19;2015;140202
0301;F20-64;2013;412661
0301;F20-64;2014;419838
0301;F20-64;2015;428635
0301;F65+;2013;75314
0301;F65+;2014;77028
0301;F65+;2015;78839
0402;F0-19;2013;3926
0402;F0-19;2014;3926
0402;F0-19;2015;3884
0402;F20-64;2013;10184
0402;F20-64;2014;10214
0402;F20-64;2015;10199
0402;F65+;2013;3528
0402;F65+;2014;3685
0402;F65+;2015;3798
0403;F0-19;2013;6547
0403;F0-19;2014;6499
0403;F0-19;2015;6531
0403;F20-64;2013;16967
0403;F20-64;2014;17043
0403;F20-64;2015;17133
0403;F65+;2013;5839
0403;F65+;2014;5978
0403;F65+;2015;6183
0412;F0-19;2013;8161
