"tid","region","kjonn","bruttoinnt","allm_innt","folkemengde","ald_pensjonist_over_62","ant_trangbodde","ant_selveiere"
"2015","1127","1",669400,522700,4562,682,380,4348
"2016","1127","1",623100,494500,4651,723,388,4354
"2017","1127","1",601600,470100,4733,746,353,4414
"2015","1127","2",376600,273300,4472,726,360,4192
"2016","1127","2",370600,270300,4568,759,392,4245
"2017","1127","2",382300,278100,4649,768,378,4325
"2015","1130","1",577600,440200,5058,926,420,5395
"2016","1130","1",552200,424100,5118,978,402,5500
"2017","1130","1",548800,416800,5205,1006,440,5581
"2015","1130","2",314900,216700,5048,917,393,5265
"2016","1130","2",315400,216900,5049,925,395,5301
"2017","1130","2",324500,222100,5114,942,463,5344
"2015","1146","1",529200,394300,3237,825,325,4874
"2016","1146","1",551900,422800,3243,848,294,4890
"2017","1146","1",542500,407700,3128,860,327,4914
"2015","1146","2",325500,226200,3088,742,315,4507
"2016","1146","2",329400,229900,3172,791,302,4559
"2017","1146","2",345400,241800,3121,813,334,4589
"2015","1149","1",539500,407700,18840,3207,1088,18487
"2016","1149","1",527400,400400,19011,3314,1086,18608
"2017","1149","1",535900,407100,19047,3453,1019,18630
"2015","1149","2",308600,213700,18610,3208,993,18069
"2016","1149","2",311700,216100,18675,3305,948,18093
"2017","1149","2",320300,220200,18729,3380,888,18198
"2015","12","1",545900,418800,211772,37642,29121,179284
"2016","12","1",528600,408500,215719,38820,29102,182701
"2017","12","1",538700,416900,217920,40002,29201,183082
"2015","12","2",350700,249700,210357,40958,27117,172940
"2016","12","2",354000,253400,213647,41946,27105,176472
"2017","12","2",362600,258300,215599,42810,27259,176827
"2015","1201","1",556800,432100,134389,18244,20093,79495
"2016","1201","1",535000,419000,135814,18729,20187,81521
"2017","1201","1",547500,430300,136485,19235,20142,81134
"2015","1201","2",367200,264800,133413,21685,18637,78270
"2016","1201","2",370200,268600,134466,22052,18727,80470
"2017","1201","2",378700,273700,135255,22344,18754,79982
"2015","1219","1",638000,498200,3770,961,343,5247
"2016","1219","1",553600,418200,3790,997,358,5299
"2017","1219","1",550900,413800,3842,1044,351,5284
"2015","1219","2",298100,206600,3728,921,328,4853
"2016","1219","2",302500,210000,3719,956,315,4879
"2017","1219","2",313000,216700,3739,979,318,4893
"2015","1221","1",525700,398600,8873,1383,838,7549
"2016","1221","1",513700,392900,8896,1435,788,7600
"2017","1221","1",517600,394500,8909,1492,833,7607
"2015","1221","2",340500,240800,8574,1413,746,7293
"2016","1221","2",340200,240600,8661,1487,717,7358
"2017","1221","2",347800,244000,8706,1538,738,7389
"2015","1224","1",492300,367300,4181,1307,324,5363
"2016","1224","1",493300,370800,4303,1346,347,5430
"2017","1224","1",494900,369900,4157,1382,351,5383
"2015","1224","2",315400,218900,4251,1331,327,5146
"2016","1224","2",317700,220600,4291,1337,348,5159
"2017","1224","2",329300,228600,4121,1353,360,5137
"2015","1235","1",476200,357500,4064,1326,588,5447
"2016","1235","1",476600,360700,4125,1359,594,5485
"2017","1235","1",489800,371500,4230,1398,578,5478
"2015","1235","2",331700,236000,4321,1543,574,5135
"2016","1235","2",337700,240900,4424,1566,555,5149
"2017","1235","2",352400,250400,4515,1572,526,5162
"2015","1243","1",575100,439900,8156,1359,782,7937
"2016","1243","1",547800,420900,8617,1442,751,8261
"2017","1243","1",552200,423800,8868,1497,763,8329
"2015","1243","2",350500,246500,8061,1358,726,7678
"2016","1243","2",349100,246000,8460,1411,709,7984
"2017","1243","2",359800,252500,8681,1486,740,8103
"2015","1246","1",571200,436300,9118,1511,983,10467
"2016","1246","1",554400,426200,9587,1568,980,10609
"2017","1246","1",562600,434200,9783,1640,1017,10808
"2015","1246","2",351300,245900,8962,1431,978,10095
"2016","1246","2",352300,248200,9365,1498,971,10225
"2017","1246","2",362100,254400,9584,1582,998,10406
"2015","1247","1",527000,393200,12368,1906,1057,12228
"2016","1247","1",528000,398900,12637,1977,1084,12479
"2017","1247","1",532900,401300,12873,2055,1096,12656
"2015","1247","2",344300,238500,12124,1804,977,11771
"2016","1247","2",352100,246900,12395,1881,1014,12072
"2017","1247","2",357000,247600,12570,1936,993,12248
"2015","1263","1",535800,405300,3893,1299,602,6578
"2016","1263","1",526600,401700,4177,1375,577,6631
"2017","1263","1",529300,402000,4249,1447,587,6688
"2015","1263","2",337400,237300,3970,1236,579,6289
"2016","1263","2",336900,237400,4238,1286,552,6365
"2017","1263","2",341500,238700,4300,1356,554,6387
"2015","14","1",486700,362800,32902,9782,4619,43122
"2016","14","1",476500,357800,33329,10022,4569,43079
"2017","14","1",492600,371400,33972,10296,4785,43040
"2015","14","2",334500,236700,32748,10190,4351,40390
"2016","14","2",339300,241300,32991,10390,4319,40235
"2017","14","2",350900,248200,33415,10557,4469,40363
"2015","1401","1",530400,401300,5030,895,553,4690
"2016","1401","1",502400,382900,5076,931,495,4683
"2017","1401","1",512500,390400,5147,972,493,4651
"2015","1401","2",343800,242600,4841,890,463,4374
"2016","1401","2",347000,246400,4916,917,435,4349
"2017","1401","2",355300,250300,4939,943,467,4366
"2015","1432","1",532800,402700,5379,760,614,4423
"2016","1432","1",511600,388600,5452,787,601,4444
"2017","1432","1",524200,400200,5509,820,637,4424
"2015","1432","2",377200,270100,5448,828,645,4231
"2016","1432","2",382700,276000,5482,846,629,4258
"2017","1432","2",392500,282200,5503,883,612,4201
"2015","15","1",508300,377200,93354,22931,10132,105907
"2016","15","1",501800,377700,95090,23771,9984,106544
"2017","15","1",513400,386800,96166,24441,9863,106864
"2015","15","2",328700,229800,92273,23938,9119,100414
"2016","15","2",334700,235600,93622,24522,9162,101036
"2017","15","2",345000,241800,94590,25088,9055,101559
"2015","1502","1",520500,392600,11392,2226,1070,9192
"2016","1502","1",514800,394000,11712,2321,1102,9293
"2017","1502","1",516300,392600,11705,2422,1106,9265
"2015","1502","2",362100,258400,11546,2441,931,8912
"2016","1502","2",365900,261500,11773,2530,966,9027
"2017","1502","2",377500,269300,11761,2589,994,9059
"2015","1504","1",533100,396400,22563,3398,2417,17470
"2016","1504","1",521500,397400,22842,3522,2521,17630
"2017","1504","1",543900,418600,23188,3602,2580,17789
"2015","1504","2",349500,246300,21902,3777,2120,16833
"2016","1504","2",355400,252400,22088,3852,2214,16977
"2017","1504","2",367000,260800,22370,3937,2163,17183
"2015","1505","1",510100,380500,11193,2070,1141,8842
"2016","1505","1",496400,373100,11199,2153,1133,8897
"2017","1505","1",499200,374000,11213,2240,1069,8781
"2015","1505","2",332300,231200,11037,2178,1005,8406
"2016","1505","2",338500,238000,11041,2260,1031,8488
"2017","1505","2",344700,239600,11055,2327,987,8372
"2015","1520","1",492700,361900,3537,924,342,4539
"2016","1520","1",498900,374200,3601,945,333,4564
"2017","1520","1",500600,371400,3850,979,332,4610
"2015","1520","2",319600,222100,3510,1010,327,4284
"2016","1520","2",328400,230600,3537,1019,337,4311
"2017","1520","2",337000,234400,3799,1023,354,4375
"2015","16","1",499700,374200,123565,22705,18455,106944
"2016","16","1",504800,385400,125723,23503,18682,108193
"2017","16","1",513800,390600,128197,24156,19310,109636
"2015","16","2",346300,243600,122861,24836,16431,103111
"2016","16","2",353400,251000,124659,25388,16647,104279
"2017","16","2",367300,259700,126536,25871,17072,105630
"2015","1601","1",517000,393700,90141,11618,13884,54233
"2016","1601","1",519900,403600,91568,12070,14178,55348
"2017","1601","1",528000,408700,93333,12422,14838,56541
"2015","1601","2",361300,257100,88692,13438,12240,53394
"2016","1601","2",368300,265000,89894,13820,12577,54475
"2017","1601","2",382600,274100,91208,14132,12984,55650
"2015","1638","1",476700,346100,4037,1006,391,4798
"2016","1638","1",482800,357600,4085,1034,389,4805
"2017","1638","1",486000,355100,4149,1064,433,4811
"2015","1638","2",330300,228800,4175,1062,353,4595
"2016","1638","2",335700,233800,4204,1070,329,4584
"2017","1638","2",345900,238000,4250,1104,393,4587
"2015","1653","1",479600,348100,4922,1219,602,6759
"2016","1653","1",483600,357100,5022,1278,562,6753
"2017","1653","1",504600,374800,5079,1314,574,6769
"2015","1653","2",328000,225500,4926,1293,520,6310
"2016","1653","2",338900,234900,5065,1322,503,6404
"2017","1653","2",348500,239700,5083,1353,501,6388
"2015","1663","1",528000,396200,5877,904,528,5819
"2016","1663","1",535200,410000,5986,936,535,5922
"2017","1663","1",547100,416700,6093,953,545,5953
"2015","1663","2",361500,254800,5762,885,422,5583
"2016","1663","2",365600,259500,5905,897,452,5703
"2017","1663","2",388600,279200,5930,926,473,5720
"2015","17","1",449900,322900,39783,12280,5125,54975
"2016","17","1",456700,332600,40197,12770,5051,54882
"2017","17","1",474800,345900,41132,13173,5099,55065
"2015","17","2",320700,221200,41173,12859,4753,52258
"2016","17","2",329800,229400,41484,13170,4692,52139
"2017","17","2",342400,237000,42181,13423,4704,52058
"2015","1702","1",445900,319200,6750,1974,703,8702
"2016","1702","1",446000,324200,6818,2063,645,8602
"2017","1702","1",462400,335000,7003,2144,674,8672
"2015","1702","2",320400,220500,7058,2222,591,8245
"2016","1702","2",329400,228300,7131,2256,571,8177
"2017","1702","2",338800,233000,7233,2309,596,8216
"2015","1703","1",450000,327600,5210,1056,584,5165
"2016","1703","1",454400,335500,5168,1092,579,5167
"2017","1703","1",482400,359500,5224,1137,562,5173
"2015","1703","2",337600,234800,5382,1209,560,5058
"2016","1703","2",346500,242800,5403,1218,548,5054
"2017","1703","2",360300,252200,5396,1247,540,5013
"2015","1714","1",480200,348700,7726,1895,929,9473
"2016","1714","1",490800,364100,7851,1977,921,9607
"2017","1714","1",500400,370100,8133,2060,933,9704
"2015","1714","2",331000,228700,7912,1985,879,9123
"2016","1714","2",338300,236100,7964,2061,871,9228
"2017","1714","2",350700,244100,8157,2119,848,9224
"2015","1719","1",463600,336000,6274,1590,704,7575
"2016","1719","1",468900,344100,6353,1653,667,7563
"2017","1719","1",482100,351800,6451,1723,686,7616
"2015","1719","2",335100,234300,6642,1671,684,7415
"2016","1719","2",342600,240300,6731,1745,664,7395
"2017","1719","2",356500,249000,6893,1787,659,7442
"2015","1721","1",438500,313700,4884,1310,539,5703
"2016","1721","1",445800,322600,4943,1383,540,5673
"2017","1721","1",464000,334000,4946,1425,519,5664
"2015","1721","2",303000,203700,4969,1287,482,5270
"2016","1721","2",312300,211800,5001,1364,495,5289
"2017","1721","2",325400,220600,5025,1406,481,5269
"2015","18","1",459200,335300,84796,21721,11517,92462
"2016","18","1",462800,343000,84695,22430,11044,92636
"2017","18","1",477700,354900,85941,23038,11012,92399
"2015","18","2",334400,232700,85036,22894,10518,87815
"2016","18","2",342200,240200,84823,23420,10283,88016
"2017","18","2",354500,248300,85705,23751,10281,87482
"2015","1804","1",498700,370600,22631,3523,3142,16505
"2016","1804","1",502200,379700,22716,3670,3043,16604
"2017","1804","1",513100,388100,23004,3790,3008,16849
"2015","1804","2",370000,260200,22666,3749,2882,16079
"2016","1804","2",379600,270800,22820,3878,2849,16231
"2017","1804","2",390700,278500,23087,3965,2827,16385
"2015","1805","1",458400,336300,8503,1575,1086,7049
"2016","1805","1",475300,356800,8482,1631,1071,7023
"2017","1805","1",478400,356200,8460,1698,1117,7039
"2015","1805","2",338800,237100,8403,1799,880,6750
"2016","1805","2",350400,247800,8375,1841,861,6737
"2017","1805","2",359300,251500,8369,1836,863,6748
"2015","1824","1",446300,327400,4870,1288,485,5081
"2016","1824","1",445200,328300,4932,1338,428,5060
"2017","1824","1",464600,342200,4956,1373,418,5046
"2015","1824","2",341400,239900,4865,1308,395,4703
"2016","1824","2",344900,243200,4888,1352,394,4714
"2017","1824","2",355500,249300,4885,1374,380,4693
"2015","1833","1",461800,337600,10832,2222,902,9708
"2016","1833","1",458800,337700,10821,2321,854,9714
"2017","1833","1",474600,349300,10889,2379,898,9560
"2015","1833","2",340200,236200,10834,2401,838,8938
"2016","1833","2",343800,240100,10747,2430,810,8931
"2017","1833","2",353300,244600,10798,2484,872,8814
"2015","1860","1",450100,328200,3342,958,522,4429
"2016","1860","1",456700,337600,3357,988,498,4452
"2017","1860","1",468800,346600,3427,1009,528,4441
"2015","1860","2",321600,221600,3492,1015,490,4406
"2016","1860","2",328200,226900,3497,1033,496,4419
"2017","1860","2",343800,238000,3551,1045,496,4368
"2015","1870","1",473400,338700,3245,775,577,4078
"2016","1870","1",469700,341800,3299,819,569,4132
"2017","1870","1",484900,357400,3386,849,540,4197
"2015","1870","2",333200,228700,3355,858,561,3927
"2016","1870","2",338200,232700,3392,879,569,3929
"2017","1870","2",351900,243600,3461,905,525,3964
"2015","19","1",466200,342800,57056,12846,9713,59657
"2016","19","1",475400,356400,57780,13318,9651,60198
"2017","19","1",487800,364800,58924,13803,9554,60354
"2015","19","2",351700,246500,56633,13531,8762,57026
"2016","19","2",359000,253700,57079,13973,8633,57578
"2017","19","2",369900,260300,58052,14375,8732,57744
"2015","1902","1",489600,361800,32341,4291,5529,23722
"2016","1902","1",505400,383200,32756,4503,5440,24077
"2017","1902","1",515600,389900,33298,4691,5499,24460
"2015","1902","2",378100,266100,32105,4487,5013,23028
"2016","1902","2",385600,274100,32433,4715,4924,23463
"2017","1902","2",396700,281400,32983,4923,5054,23887
"2015","1903","1",478600,357000,10327,2040,1110,8778
"2016","1903","1",478400,361100,10363,2135,1168,8764
"2017","1903","1",493800,371800,10436,2225,1102,8821
"2015","1903","2",348000,245300,10443,2252,1022,8449
"2016","1903","2",357200,254200,10430,2329,1065,8422
"2017","1903","2",368500,260900,10517,2393,1019,8492
"2015","1931","1",476800,347300,3341,914,510,4658
"2016","1931","1",481300,360400,3430,927,437,4809
"2017","1931","1",491100,365600,3513,962,470,4832
"2015","1931","2",326000,225200,3295,1004,450,4451
"2016","1931","2",330300,229900,3333,1028,366,4582
"2017","1931","2",338500,233800,3339,1057,398,4577
"2015","20","1",431800,313500,29400,6043,4396,28855
"2016","20","1",442600,326200,29475,6205,4275,29003
"2017","20","1",454200,333700,29855,6364,4326,28877
"2015","20","2",346800,240800,28788,6045,4125,27120
"2016","20","2",355500,249000,28742,6248,4067,27241
"2017","20","2",365200,255100,29059,6425,4079,27252
"2015","2004","1",493600,364200,5065,725,576,3467
"2016","2004","1",500900,373900,5099,734,560,3505
"2017","2004","1",521500,392200,5084,740,586,3490
"2015","2004","2",377500,263100,4900,750,538,3238
"2016","2004","2",382700,269200,4933,774,510,3300
"2017","2004","2",396700,281500,5021,802,542,3365
"2015","2012","1",457300,330100,8036,1269,1392,7627
"2016","2012","1",465700,343200,8172,1306,1296,7713
"2017","2012","1",486300,359500,8339,1354,1322,7773
"2015","2012","2",345300,236200,8055,1251,1254,7156
"2016","2012","2",355100,246500,8178,1310,1268,7285
"2017","2012","2",363700,251300,8332,1378,1291,7387
"2015","2030","1",448000,327300,3892,767,530,3817
"2016","2030","1",452400,334700,3897,797,516,3819
"2017","2030","1",450700,328000,3910,811,498,3784
"2015","2030","2",357400,250000,3976,804,491,3799
"2016","2030","2",365300,257800,3975,827,489,3788
"2017","2030","2",372600,261100,3968,848,477,3744
"2015","50","1",0,0,0,0,0,0
"2016","50","1",0,0,0,0,0,0
"2017","50","1",0,0,0,0,0,0
"2015","50","2",0,0,0,0,0,0
"2016","50","2",0,0,0,0,0,0
"2017","50","2",0,0,0,0,0,0
"2015","5001","1",0,0,0,0,0,0
"2016","5001","1",0,0,0,0,0,0
"2017","5001","1",0,0,0,0,0,0
"2015","5001","2",0,0,0,0,0,0
"2016","5001","2",0,0,0,0,0,0
"2017","5001","2",0,0,0,0,0,0
"2015","5004","1",0,0,0,0,0,0
"2016","5004","1",0,0,0,0,0,0
"2017","5004","1",0,0,0,0,0,0
"2015","5004","2",0,0,0,0,0,0
"2016","5004","2",0,0,0,0,0,0
"2017","5004","2",0,0,0,0,0,0
"2015","5005","1",0,0,0,0,0,0
"2016","5005","1",0,0,0,0,0,0
"2017","5005","1",0,0,0,0,0,0
"2015","5005","2",0,0,0,0,0,0
"2016","5005","2",0,0,0,0,0,0
"2017","5005","2",0,0,0,0,0,0
"2015","5024","1",0,0,0,0,0,0
"2016","5024","1",0,0,0,0,0,0
"2017","5024","1",0,0,0,0,0,0
"2015","5024","2",0,0,0,0,0,0
"2016","5024","2",0,0,0,0,0,0
"2017","5024","2",0,0,0,0,0,0
"2015","5028","1",0,0,0,0,0,0
"2016","5028","1",0,0,0,0,0,0
"2017","5028","1",0,0,0,0,0,0
"2015","5028","2",0,0,0,0,0,0
"2016","5028","2",0,0,0,0,0,0
"2017","5028","2",0,0,0,0,0,0
"2015","5031","1",0,0,0,0,0,0
"2016","5031","1",0,0,0,0,0,0
"2017","5031","1",0,0,0,0,0,0
"2015","5031","2",0,0,0,0,0,0
"2016","5031","2",0,0,0,0,0,0
"2017","5031","2",0,0,0,0,0,0
"2015","5035","1",0,0,0,0,0,0
"2016","5035","1",0,0,0,0,0,0
"2017","5035","1",0,0,0,0,0,0
"2015","5035","2",0,0,0,0,0,0
"2016","5035","2",0,0,0,0,0,0
"2017","5035","2",0,0,0,0,0,0
"2015","5037","1",0,0,0,0,0,0
"2016","5037","1",0,0,0,0,0,0
"2017","5037","1",0,0,0,0,0,0
"2015","5037","2",0,0,0,0,0,0
"2016","5037","2",0,0,0,0,0,0
"2017","5037","2",0,0,0,0,0,0
"2015","5038","1",0,0,0,0,0,0
"2016","5038","1",0,0,0,0,0,0
"2017","5038","1",0,0,0,0,0,0
"2015","5038","2",0,0,0,0,0,0
"2016","5038","2",0,0,0,0,0,0
"2017","5038","2",0,0,0,0,0,0
"2015","5054","1",0,0,0,0,0,0
"2016","5054","1",0,0,0,0,0,0
"2017","5054","1",0,0,0,0,0,0
"2015","5054","2",0,0,0,0,0,0
"2016","5054","2",0,0,0,0,0,0
"2017","5054","2",0,0,0,0,0,0
